,City,Children_Needing_Care_DemandEstimated_InfantsToddlers,Available_Spaces_for_Children_Supply_InfantsToddlers,Percent_of_Need_Met_InfantsToddlers,Shortage_of_care_InfantsToddlers,Children_Needing_Care_DemandEstimated_Preschoolers,Available_Spaces_for_Children_Supply_Preschoolers,Percent_of_Need_Met_Preschoolers,Shortage_of_Care_Preschoolers,is_imputed_InfantsToddlers,is_imputed_Preschoolers,expected_slots_by_need_InfantsToddlers,delta_slots_InfantsToddlers,capacity_above_expectation_InfantsToddlers,expected_slots_by_need_Preschoolers,delta_slots_Preschoolers,capacity_above_expectation_Preschoolers
11,Bloomfield,334,136.0,41%,-198,289,885.0,306%,596,0,0,103.92693550285796,32.07306449714204,30.861166397290763,282.47440808977814,602.5255919102219,213.30271863733677
12,Bolton,79,6.0,120%,1,81,68.0,1360%,63,1,1,24.581520672831672,-18.581520672831672,-75.59142056401986,79.17102787291358,-11.171027872913584,-14.109994745610061
13,Bozrah,10,0.0,0%,-5,44,25.0,500%,20,1,1,3.111584895295149,-3.111584895295149,-100.0,43.00648427664442,-18.00648427664442,-41.86923106947206
14,Branford,428,187.0,44%,-241,366,365.0,100%,-1,0,0,133.17583351863237,53.82416648136763,40.41586604662564,357.73575557390586,7.2642444260941375,2.030617379702598
15,Bridgeport,4213,1225.0,29%,-2988,3942,4084.0,104%,142,0,0,1310.9107163878462,-85.91071638784615,-6.553513928436648,3852.990023148461,231.0099768515388,5.99560277767783
16,Bridgewater,5,140.0,0%,-5,120,427.0,0%,-5,1,1,1.5557924476475744,138.44420755235242,8898.629618731346,117.29041166357568,309.7095883364243,264.0536288889197
17,Bristol,1493,362.0,24%,-1131,1344,1231.0,92%,-113,0,0,464.5596248675657,-102.55962486756567,-22.076740934342464,1313.6526106320478,-82.65261063204775,-6.291816418062038
18,Brookfield,325,141.0,43%,-184,272,409.0,150%,137,0,0,101.12650909709232,39.873490902907676,39.42931607045274,265.8582664374382,143.1417335625618,53.84137024614426
19,Brooklyn,50,51.0,1020%,46,5,202.0,4040%,197,1,1,15.557924476475742,35.44207552352426,227.80722182521336,4.88710048598232,197.11289951401767,4033.330194036259
20,Burlington,253,89.0,35%,-164,141,164.0,117%,23,0,0,78.72309785096726,10.276902149032736,13.054494080616855,137.81623370470143,26.183766295298568,18.99904357523111
21,Canaan,5,20.0,400%,15,5,59.0,1180%,54,1,1,1.5557924476475744,18.444207552352424,1185.518516961621,4.88710048598232,54.11289951401768,1107.2598091492043
22,Canterbury,56,15.0,300%,10,118,80.0,1600%,75,1,1,17.42487541365283,-2.424875413652831,-13.916170739177163,115.33557146918275,-35.33557146918275,-30.637184191370043
23,Canton,43,55.0,1100%,50,8,149.0,2980%,144,1,1,13.379815049769139,41.620184950230865,311.0669676330765,7.819360777571712,141.18063922242828,1805.5266055427062
24,Chaplin,76,23.0,460%,18,5,58.0,1160%,53,1,1,23.64804520424313,-0.6480452042431288,-2.7403753614563082,4.88710048598232,53.11289951401768,1086.7977784856585
25,Cheshire,360,184.0,51%,-176,462,544.0,118%,82,0,0,112.01705623062534,71.98294376937466,64.26069938954046,451.5680849047664,92.43191509523359,20.46909827888458
26,Chester,78,6.0,120%,1,117,25.0,500%,20,1,1,24.270362183302158,-18.270362183302158,-75.27849005843036,114.3581513719863,-89.3581513719863,-78.13885612869035
27,Clinton,216,36.0,17%,-180,296,170.0,57%,-126,0,0,67.21023373837521,-31.21023373837521,-46.43672845993246,289.31634877015335,-119.31634877015335,-41.24079032427716
28,Colchester,331,90.0,27%,-241,309,294.0,95%,-15,0,0,102.99346003426942,-12.993460034269418,-12.615810780554467,302.0228100337074,-8.022810033707401,-2.656358979247962
29,Colebrook,37,6.0,120%,1,28,8.0,160%,3,1,1,11.51286411259205,-5.51286411259205,-47.88438444750185,27.367762721500995,-19.367762721500995,-70.76852762350595
30,Columbia,78,106.0,2120%,101,160,161.0,3220%,156,1,1,24.270362183302158,81.72963781669785,336.7466756343969,156.38721555143425,4.612784448565748,2.9495917759649903
