,City,Total_Preschoolers_Needing_Care,Total#_Preschool_Slots_Public/Charter/Magnet_School_Funded_IncludesOverlaps,#Needed_to_Expand_Public_Preschool_to_Meet_100%_Demand_#NeedingCare_CurrentPublicPreschool,is_imputed_Preschool,expected_slots_by_need_Preschool,delta_slots_Preschool,capacity_above_expectation_Preschool
40,East Haddam,214,16.0,198,0,55.603682211585976,-39.603682211585976,-71.22492726450025
41,East Hampton,390,47.0,343,0,101.33381337625481,-54.33381337625481,-53.61864077345248
42,East Hartford,1012,522.0,490,0,262.9482541968458,259.0517458031542,98.51814631529187
43,East Haven,497,144.0,353,0,129.1356544820478,14.864345517952188,11.510644041393386
44,East Lyme,323,59.0,264,0,83.92518389879565,-24.92518389879565,-29.699290178324333
45,East Windsor,5,53.0,-48,1,1.2991514535417283,51.700848546458275,3979.5859370754774
46,Eastford,17,17.0,-12,1,4.417114942041876,12.582885057958123,284.86659783730914
47,Easton,67,24.0,43,0,17.40862947745916,6.5913705225408386,37.862661911871925
48,Ellington,346,50.0,296,0,89.9012805850876,-39.901280585087605,-44.38343961888596
49,Enfield,817,96.0,721,0,212.28134750871843,-116.28134750871843,-54.776997071748255
50,Essex,17,55.0,-50,1,4.417114942041876,50.58288505795812,1145.1566400618826
51,Fairfield,1415,79.0,"1,336",0,367.6598613523091,-288.6598613523091,-78.51274824795235
52,Farmington,400,125.0,275,0,103.93211628333827,21.067883716661726,20.270811824159104
53,Franklin,10,21.0,-16,1,2.5983029070834567,18.401697092916542,708.2198554583492
54,Glastonbury,816,124.0,692,0,212.02151721801008,-88.02151721801008,-41.51536993648733
55,Goshen,60,0.0,5,1,15.58981744250074,-15.58981744250074,-100.0
56,Granby,29,38.0,-33,1,7.535078430542025,30.464921569457974,404.30795578681887
57,Greenwich,1926,179.0,"1,747",0,500.4331399042738,-321.4331399042738,-64.23098597462183
58,Griswold,317,208.0,109,0,82.36620215454558,125.63379784545442,152.5307645115467
59,Groton,1006,303.0,703,0,261.3892724525958,41.610727547404224,15.919064756167655
60,Guilford,363,36.0,327,0,94.31839552712948,-58.31839552712948,-61.831411784729674
61,Haddam,26,20.0,-15,1,6.7555875584169875,13.244412441583012,196.05122910562244
62,Hamden,1280,187.0,"1,093",0,332.58277210668246,-145.58277210668246,-43.773395472205614
63,Hampton,5,11.0,-6,1,1.2991514535417283,9.700848546458271,746.7065152420801
64,Hartford,3518,1317.0,"2,201",0,914.0829627119601,402.91703728803986,44.07882585325075
65,Hartland,5,15.0,-10,1,1.2991514535417283,13.700848546458271,1054.5997935119274
66,Harwinton,56,0.0,5,1,14.550496279667358,-14.550496279667358,-100.0
67,Hebron,29,80.0,-75,1,7.535078430542025,72.46492156945797,961.7009595511976
68,Kent,5,16.0,-11,1,1.2991514535417283,14.700848546458271,1131.5731130793893
69,Killingly,369,191.0,178,0,95.87737727137956,95.12262272862044,99.21279183448792
70,Killingworth,33,0.0,5,1,8.574399593375407,-8.574399593375407,-100.0
71,Lebanon,22,46.0,-41,1,5.716266395583605,40.2837336044164,704.7210682052828
72,Ledyard,292,42.0,250,0,75.87044488683694,-33.870444886836935,-44.64247565353772
73,Lisbon,5,32.0,-27,1,1.2991514535417283,30.70084854645827,2363.1462261587785
74,Litchfield,101,39.0,62,0,26.242859361542912,12.757140638457088,48.611854610446116
75,Lyme,24,0.0,5,1,6.235926977000297,-6.235926977000297,-100.0
76,Madison,323,45.0,278,0,83.92518389879565,-38.92518389879565,-46.38081454278974
