total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town
7396,4939,103,74,133365.0,15,15,245,122,0,20,25,84,2024,16,18,196,Old Lyme
31347,12402,833,1172,92352.0,155,228,2085,915,306,426,215,875,6742,144,592,1177,Naugatuck
9705,3742,206,117,118636.0,0,0,459,364,15,0,0,180,2320,0,65,394,Prospect
59676,28826,1706,1702,77621.0,434,243,4053,1506,196,1112,643,1967,11208,251,1027,2546,Meriden
25898,10286,698,542,128663.0,46,18,1533,1029,70,72,204,335,6587,17,24,1489,South Windsor
12671,5661,308,385,89700.0,98,66,892,485,6,229,27,353,2858,0,163,678,Windsor Locks
25528,10975,488,605,128791.0,72,33,1228,572,28,102,312,346,5931,81,117,1017,Farmington
26171,11481,904,451,110090.0,70,12,1519,1079,70,190,214,462,6153,0,130,1377,Wethersfield
11361,4398,373,261,134500.0,12,15,708,548,20,62,48,97,3177,20,53,637,Granby
57805,25182,2044,2086,85833.0,452,271,4820,1672,204,1148,506,1923,11841,353,975,3328,Manchester
15688,5601,289,308,134926.0,0,0,710,509,14,159,10,112,3854,0,0,710,Suffield
5069,2109,75,116,103125.0,8,0,206,186,8,0,15,77,1381,0,12,211,Canterbury
9512,3724,257,104,133422.0,15,0,403,234,0,0,34,71,2581,55,33,346,Hebron
19546,7013,555,517,145497.0,84,71,1183,733,93,53,26,223,4806,0,24,1088,Monroe
52120,21735,1308,1226,94762.0,365,201,2923,1505,103,680,402,1287,11605,115,357,2258,Stratford
129309,53432,4099,3461,110954.0,552,442,8960,3826,635,1364,1276,3926,24948,416,1982,6202,Stamford
18463,6627,403,501,220163.0,65,53,1081,649,28,65,42,179,4703,26,9,1002,Wilton
61740,22160,1641,1577,167210.0,183,32,3844,2386,106,164,212,715,14402,123,154,3547,Fairfield
19663,7543,621,529,118953.0,27,8,1319,671,262,101,60,403,4531,4,216,1091,Bethel
88599,36898,2200,2650,98770.0,544,266,5671,2826,216,770,1008,2961,17429,483,1308,3649,Norwalk
3433,1577,107,59,119141.0,14,27,165,43,0,72,7,58,808,18,19,101,Bethlehem
2799,1504,44,39,101786.0,0,0,96,36,9,4,6,74,582,0,9,87,Kent
10730,5647,102,155,82744.0,50,0,415,173,0,18,276,178,2170,91,40,284,Winchester
3649,1435,47,65,114706.0,50,35,112,81,0,0,8,80,990,0,0,77,Barkhamsted
3757,1454,154,103,78846.0,45,0,271,110,29,16,22,105,992,0,0,271,Sterling
14761,6390,840,419,112930.0,17,17,1340,653,45,136,83,353,3657,18,361,964,Ledyard
4657,2002,121,155,90721.0,51,36,359,189,10,59,38,111,1123,29,125,177,Preston
4112,1839,68,89,128563.0,17,18,191,155,0,28,10,67,1239,0,0,173,Salem
2906,1287,84,84,76250.0,25,13,259,113,29,24,59,98,583,26,90,130,Sprague
38825,17981,1279,1171,79915.0,319,310,2812,905,150,486,336,1625,7075,131,792,1579,Groton
11622,5274,445,192,70833.0,42,0,714,316,51,180,69,537,2776,0,166,548,Griswold
