total population,black or african american,american indian and alaska native,asian,native hawaiian and other pacific islander,other race,hispanic or latinx,non US citizens,male mean usual hours worked,female mean usual hours worked,unemployed,gini index,male median income past 12 months,female median income past 12 months,male median earnings past 12 months,female median earnings past 12 months,receiving social security income,receiving supplemental security income,received public assistance income,received cash public assistance or food stamps/snap,received retirement income,median household income,median household income - white,median household income - black,median household income - american indian / alaska native,median household income - asian,median household income - other race,median household income - 2 or more races,median household income - hispanic or latinx,median family income,median family income - white,median family income - black,median family income - american indian / alaska native,median family income - asian,median family income - other race,median family income - 2 or more races,median family income - hispanic or latinx,housing units,median year housing unit was built,number of owned homes,income quintile means - lowest,income quintile means - second,income quintile means - third,income quintile means - fourth,income quintile means - highest,income quintile means - top 5%,transport to work - car/truck/van,transport to work - public transport,time of departure to work - afternoon,child relationship to householder - foster/not family,educational attainment - no school,primary spoken language at home - english,primary spoken language at home - spanish,primary spoken language at home - chinese,ratio of income to poverty level - < 0.5,number of income earners in family - no earners,number of income earners in family - 1 earner,number of income earners in family - 2 earners,number of income earners in family - 3+ earners,rent paid for non-owned housing units - no rent paid,rent as percentage of income - 50+%,home value of owned/mortgaged housing units - 300k - 400k,home value of owned/mortgaged housing units - 400k - 500k,home value of owned/mortgaged housing units - 500k - 750k,home value of owned/mortgaged housing units - 750k - 1m,monthly housing costs - 3k+,monthly housing costs - no housing cost,computers and internet - computer but no internet,computers and internet - no computer,transport to work - other,time of departure to work - morning,time of departure to work - evening/night,travel time to work - < 20 mins,travel time to work - 21-40 mins,travel time to work - > 40 minns,child relationship to householder - family,educational attainment - K-12 no diploma,educational attainment - high school diploma,educational attainment - some college no degree,educational attainment - college degree,educational attainment - graduate degree,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,rent paid for non-owned housing units - < 500,rent paid for non-owned housing units - 500 - 999,rent paid for non-owned housing units - 1000 - 1999,rent paid for non-owned housing units - 2000 - 2999,rent paid for non-owned housing units - 3000+,rent as percentage of income - <15%,rent as percentage of income - 15-29%,rent as percentage of income - 30-49%,home value of owned/mortgaged housing units - < 50k,home value of owned/mortgaged housing units - 50k - 100k,home value of owned/mortgaged housing units - 100k - 200k,home value of owned/mortgaged housing units - 200k - 300k,home value of owned/mortgaged housing units - 1m+,monthly housing costs - < 500,monthly housing costs - 500-1000,monthly housing costs - 1k - 2k,monthly housing costs - 2k - 3k,computers and internet - computer with internet,town
9705,770,100,49,0,105,350,104,43.6,36.0,2720,0.3435,56712.0,34405.0,63135.0,42442.0,1147,255,73,173,974,101134.0,104833.0,75650.0,,,,116250.0,,118636.0,126303.0,75650.0,,,,116250.0,,3742,1981.0,2075,31141.0,71127.0,102641.0,150304.0,227250.0,307675.0,4814,14,155,12,44,8472,117,0,0,291,584,1111,514,21,47,854,427,98,8,244,21,166,142,17,4358,332,1564,2194,1087,2008,390,1875,1264,2250,1180,0,180,2320,0,28,267,41,0,89,132,56,97,44,354,1108,0,130,576,1464,912,3039,Prospect
59676,6907,848,1434,115,4405,17417,3385,40.3,36.8,17324,0.4115,44206.0,31305.0,47970.0,36651.0,7762,2016,2874,7144,5489,58843.0,62723.0,53073.0,,,34801.0,43903.0,45305.0,77621.0,80905.0,70872.0,,117375.0,46949.0,48652.0,50847.0,28826,1957.0,9592,16190.0,39875.0,59481.0,89441.0,171907.0,274066.0,26122,605,1615,68,534,41204,12237,188,434,2089,5089,5418,1656,696,1907,720,216,130,50,384,696,2284,3850,1706,24527,2291,13295,11532,3606,11507,5286,16702,7648,9888,3265,643,1967,11208,1027,3666,5231,91,36,878,4591,2518,308,1166,8387,3847,24,1410,8588,12737,1780,19461,Meriden
25898,1490,98,3590,8,408,1498,1535,41.9,35.6,7078,0.403,67637.0,34319.0,73837.0,41031.0,3385,281,151,465,2561,107374.0,110863.0,85804.0,,124761.0,92450.0,,118801.0,128663.0,131204.0,105104.0,,129199.0,92450.0,,112102.0,10286,1979.0,5650,23840.0,64687.0,108476.0,152688.0,275204.0,405106.0,11772,196,838,20,63,20084,927,261,46,833,1876,3275,1188,66,518,2283,745,576,24,1099,66,402,681,180,10595,715,4474,6061,1613,5676,532,4025,2770,6102,4339,204,335,6587,103,269,1087,58,0,164,588,247,161,237,1216,2927,31,168,1615,4336,2499,8700,South Windsor
12671,945,201,725,0,218,585,400,40.1,36.8,3274,0.4331,47689.0,35385.0,52720.0,40148.0,1912,206,164,488,1223,70067.0,69889.0,52786.0,,109097.0,83007.0,51250.0,61595.0,89700.0,95066.0,,,109653.0,,51250.0,61078.0,5661,1961.0,2727,17287.0,46412.0,70281.0,106970.0,214755.0,381641.0,6260,33,949,21,106,10663,443,8,98,433,875,1586,442,82,233,283,0,54,0,144,82,537,645,210,4950,604,3224,2454,825,2461,627,3424,1860,2276,803,27,353,2858,157,206,569,39,63,103,263,407,55,66,2451,1282,0,398,1358,2677,648,4125,Windsor Locks
25528,750,113,3414,88,506,1663,2044,42.1,35.4,7292,0.4876,61694.0,36460.0,69077.0,45184.0,3401,234,142,537,2620,93053.0,92165.0,,,137885.0,67750.0,58750.0,89011.0,128791.0,127813.0,,,143490.0,,,89086.0,10975,1978.0,5029,18919.0,54220.0,94009.0,148273.0,341086.0,620628.0,11563,116,457,11,147,17590,1290,616,72,890,2052,2870,849,234,780,1827,1067,924,425,1246,234,380,842,274,10885,611,4460,5724,1769,5200,645,2832,2502,6835,5715,312,346,5931,291,282,1855,124,38,353,973,429,48,56,1083,2048,161,377,1929,4474,2203,9241,Farmington
26171,1503,419,1384,93,527,2087,1235,41.0,36.5,6816,0.447,54387.0,36090.0,59372.0,41012.0,3806,253,259,1122,2551,86216.0,91137.0,41008.0,,,92206.0,,,110090.0,113595.0,44583.0,,,92426.0,108375.0,62386.0,11481,1960.0,5545,18542.0,49619.0,86462.0,126482.0,260147.0,451187.0,13031,113,895,36,201,18955,1309,281,70,862,1612,3331,1094,148,532,1962,609,202,44,519,148,528,1199,260,11592,917,6895,5252,1257,4967,998,4981,2944,6037,3740,214,462,6153,449,505,1128,21,11,317,686,560,113,101,1923,3701,0,561,2210,5264,2215,9190,Wethersfield
11361,80,7,214,30,220,235,163,41.4,35.6,2770,0.4139,62068.0,43835.0,65949.0,48958.0,1123,58,83,204,1015,121250.0,120321.0,,,132917.0,,,,134500.0,135950.0,,,134583.0,,,,4398,1975.0,2662,34046.0,80142.0,120114.0,165858.0,349159.0,612296.0,5309,12,282,16,11,9970,137,0,12,438,648,1661,587,9,102,1037,368,475,89,669,9,77,233,109,4910,238,1846,2193,1391,2546,266,1441,1257,3370,1607,48,97,3177,34,120,193,47,0,79,193,20,45,30,366,1321,13,73,628,1630,1138,3837,Granby
57805,10779,986,7191,186,4290,7778,5815,40.4,36.6,14262,0.4209,48084.0,32955.0,51953.0,39106.0,6305,1012,894,3432,4629,74503.0,75632.0,54692.0,,86939.0,48687.0,85972.0,48855.0,85833.0,92835.0,59286.0,,90307.0,41129.0,99081.0,72938.0,25182,1962.0,9195,16451.0,45485.0,74165.0,105677.0,204141.0,339516.0,27576,543,1908,183,486,41251,3976,166,452,1811,5068,6235,1608,338,2052,1292,325,149,23,586,338,1277,1565,781,24398,2594,12074,13350,3476,12112,2547,10276,7608,13166,6944,506,1923,11841,790,1791,7396,282,36,1541,4219,2267,247,348,6933,3668,27,1058,4931,14318,2414,20803,Manchester
15688,1370,51,697,65,623,1217,417,40.4,36.4,5318,0.42,51434.0,43533.0,56549.0,50515.0,1496,55,159,219,1258,114208.0,110769.0,,,218824.0,,,88438.0,134926.0,130526.0,,,219154.0,,,72727.0,5601,1973.0,3341,36344.0,74211.0,116709.0,179026.0,354438.0,599453.0,6874,27,311,93,66,13135,888,118,0,451,932,2007,586,128,120,1126,486,587,73,800,128,132,237,132,6150,572,3071,2734,1228,2904,863,2822,1676,3375,2465,10,112,3854,26,71,356,38,29,71,162,167,19,15,552,1551,101,74,691,2386,1079,4789,Suffield
5069,44,35,61,18,7,55,80,41.0,36.9,1218,0.3569,48724.0,36349.0,50294.0,46773.0,679,65,177,272,442,91973.0,92178.0,,,,,134125.0,,103125.0,103676.0,,,,,134625.0,,2109,1980.0,1174,28377.0,61514.0,92436.0,128807.0,214905.0,316638.0,2474,0,79,10,11,4686,7,39,8,194,308,814,165,36,12,169,46,63,19,40,36,62,210,21,2043,373,734,1158,603,1103,303,1189,889,913,305,15,77,1381,69,35,78,0,0,6,80,84,53,11,541,784,12,182,449,885,324,1644,Canterbury
