total population,black or african american,american indian and alaska native,asian,native hawaiian and other pacific islander,other race,hispanic or latinx,non US citizens,male mean usual hours worked,female mean usual hours worked,unemployed,gini index,male median income past 12 months,female median income past 12 months,male median earnings past 12 months,female median earnings past 12 months,receiving social security income,receiving supplemental security income,received public assistance income,received cash public assistance or food stamps/snap,received retirement income,median household income,median household income - white,median household income - black,median household income - american indian / alaska native,median household income - asian,median household income - other race,median household income - 2 or more races,median household income - hispanic or latinx,median family income,median family income - white,median family income - black,median family income - american indian / alaska native,median family income - asian,median family income - other race,median family income - 2 or more races,median family income - hispanic or latinx,housing units,median year housing unit was built,number of owned homes,income quintile means - lowest,income quintile means - second,income quintile means - third,income quintile means - fourth,income quintile means - highest,income quintile means - top 5%,transport to work - car/truck/van,transport to work - public transport,time of departure to work - afternoon,child relationship to householder - foster/not family,educational attainment - no school,primary spoken language at home - english,primary spoken language at home - spanish,primary spoken language at home - chinese,ratio of income to poverty level - < 0.5,number of income earners in family - no earners,number of income earners in family - 1 earner,number of income earners in family - 2 earners,number of income earners in family - 3+ earners,rent paid for non-owned housing units - no rent paid,rent as percentage of income - 50+%,home value of owned/mortgaged housing units - 300k - 400k,home value of owned/mortgaged housing units - 400k - 500k,home value of owned/mortgaged housing units - 500k - 750k,home value of owned/mortgaged housing units - 750k - 1m,monthly housing costs - 3k+,monthly housing costs - no housing cost,computers and internet - computer but no internet,computers and internet - no computer,transport to work - other,time of departure to work - morning,time of departure to work - evening/night,travel time to work - < 20 mins,travel time to work - 21-40 mins,travel time to work - > 40 minns,child relationship to householder - family,educational attainment - K-12 no diploma,educational attainment - high school diploma,educational attainment - some college no degree,educational attainment - college degree,educational attainment - graduate degree,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,rent paid for non-owned housing units - < 500,rent paid for non-owned housing units - 500 - 999,rent paid for non-owned housing units - 1000 - 1999,rent paid for non-owned housing units - 2000 - 2999,rent paid for non-owned housing units - 3000+,rent as percentage of income - <15%,rent as percentage of income - 15-29%,rent as percentage of income - 30-49%,home value of owned/mortgaged housing units - < 50k,home value of owned/mortgaged housing units - 50k - 100k,home value of owned/mortgaged housing units - 100k - 200k,home value of owned/mortgaged housing units - 200k - 300k,home value of owned/mortgaged housing units - 1m+,monthly housing costs - < 500,monthly housing costs - 500-1000,monthly housing costs - 1k - 2k,monthly housing costs - 2k - 3k,computers and internet - computer with internet,town
6903,93,69,70,0,232,191,164,41.4,32.5,2018,0.5251,51948.0,30231.0,52826.0,34073.0,1292,92,19,139,742,79707.0,84202.0,,,,,,,126890.0,128250.0,,,,,,,4365,1969.0,1858,17385.0,42995.0,83247.0,139020.0,358782.0,645775.0,3543,111,345,0,17,6274,200,54,77,236,536,915,291,22,225,707,498,236,181,332,22,129,209,21,3198,132,1626,948,1101,715,277,1379,707,2105,1150,20,76,1805,66,57,411,24,10,76,135,132,92,119,262,337,147,152,639,1198,826,2831,Westbrook
9007,56,67,33,0,160,309,178,42.4,35.3,2408,0.3994,55931.0,35918.0,56735.0,42902.0,1184,131,73,271,851,96928.0,99464.0,,,,,93382.0,105792.0,107654.0,107654.0,,,,,,,4633,1975.0,2237,24216.0,66404.0,97420.0,132976.0,263063.0,402158.0,4297,20,228,0,120,7902,236,0,32,313,860,1086,393,57,20,780,206,212,176,269,57,134,234,43,3802,330,858,1754,1748,1649,339,1799,1268,2378,867,34,227,2359,45,168,245,18,0,60,253,107,50,9,360,1299,15,86,854,1614,760,3272,East Haddam
10090,226,61,219,0,2,583,307,41.9,35.0,3215,0.4363,57706.0,35089.0,57414.0,38504.0,1616,187,78,315,1273,83132.0,83978.0,,,,,,,101012.0,101762.0,,,,,,34844.0,5735,1969.0,2127,23169.0,52819.0,83437.0,135778.0,267543.0,425836.0,4546,93,307,0,10,8611,468,0,69,537,632,1292,350,34,320,1172,537,685,136,352,34,80,231,201,4077,456,2201,1517,1122,1685,259,1834,1207,2635,1873,38,301,2403,28,59,598,117,1,42,253,188,19,21,90,654,192,212,776,1782,1187,4032,Old Saybrook
7221,33,24,112,0,20,81,46,43.3,38.1,1979,0.4185,60639.0,43510.0,66573.0,57361.0,956,75,40,160,798,119905.0,121806.0,,,,,,,129156.0,129906.0,,,,,,,2913,1979.0,1643,31931.0,83009.0,120021.0,159328.0,349026.0,659603.0,3400,72,238,0,112,6465,84,0,23,274,419,1121,253,72,32,707,317,290,63,424,72,113,174,0,3021,213,936,1704,832,1424,97,1274,868,1905,1147,14,58,1972,0,17,50,12,0,16,31,0,40,18,288,894,0,0,594,837,841,2481,Durham
4480,132,56,57,0,55,199,312,40.3,35.1,912,0.4234,60364.0,36496.0,63327.0,43095.0,611,95,36,49,401,85960.0,87277.0,53750.0,,,,,62024.0,114583.0,117708.0,,,,,,,2095,1961.0,945,30519.0,61893.0,86506.0,132310.0,282623.0,531166.0,2392,35,158,26,17,3913,188,0,0,87,287,704,173,40,74,374,121,61,18,138,40,151,137,125,2279,115,1201,751,600,907,79,982,436,1225,519,9,63,1179,0,118,328,47,0,38,220,161,11,13,143,593,16,0,430,836,439,1595,Deep River
12944,131,75,170,0,286,1106,431,42.2,35.8,3403,0.4399,48131.0,32220.0,53500.0,36559.0,1912,176,110,437,1178,79554.0,79762.0,,,95673.0,,,73333.0,101429.0,102103.0,,,96442.0,,,78239.0,6182,1968.0,2960,19518.0,45892.0,80433.0,127220.0,243734.0,385855.0,6208,192,324,26,30,11200,857,13,52,527,919,1838,414,44,318,1041,301,319,66,461,44,212,354,363,5944,495,2925,2103,1735,2364,629,2471,1856,3142,1554,80,308,3258,49,280,647,73,0,125,318,280,154,62,554,1732,74,188,1236,2335,1132,4830,Clinton
9322,79,24,73,0,62,259,54,42.0,36.5,2234,0.4419,61096.0,37672.0,64552.0,43178.0,1258,159,82,338,919,99292.0,97415.0,,,,,113494.0,106776.0,121372.0,121652.0,,,,,,120114.0,4168,1958.0,1986,21074.0,57895.0,97127.0,139356.0,289765.0,510529.0,4409,0,185,52,0,8523,123,0,21,278,582,1222,359,56,139,623,329,144,6,281,56,232,326,91,4047,268,1490,2170,840,1941,443,1945,1072,2297,996,46,159,2215,53,153,393,0,0,16,217,217,54,33,489,1394,14,98,954,1649,703,3183,Portland
8227,219,11,294,0,12,171,228,42.0,35.9,2333,0.3976,61661.0,40099.0,62568.0,50084.0,857,174,49,208,784,110497.0,111045.0,,,,,203864.0,141250.0,130729.0,130833.0,,,2499.0,,203864.0,141250.0,3366,1973.0,1875,24136.0,75607.0,112574.0,159031.0,288640.0,455820.0,3876,83,149,0,14,7549,71,34,40,303,583,1227,316,116,171,754,376,252,0,548,116,96,265,58,3664,204,1105,1528,1384,1498,324,1467,860,2447,1135,57,171,2161,73,208,72,52,0,61,33,123,12,29,306,820,31,103,589,932,813,2740,Haddam
6392,29,0,111,0,22,36,58,40.1,34.7,1667,0.3956,62909.0,34493.0,62520.0,40036.0,854,104,63,102,573,110543.0,109091.0,,,,,,,127331.0,127365.0,,,,,,,2370,1978.0,1445,28336.0,70395.0,109439.0,160028.0,286328.0,444722.0,3140,13,202,25,0,5783,80,18,45,193,492,725,407,0,0,683,400,295,45,383,0,157,105,30,2812,169,875,1523,785,1284,88,1033,601,1663,1241,11,86,1675,0,25,101,17,0,29,56,13,86,54,223,319,56,0,420,784,717,2042,Killingworth
46511,7877,606,3331,79,1134,5195,2557,39.7,34.9,13402,0.4716,44597.0,28993.0,47268.0,33666.0,5517,868,754,3024,3513,65572.0,71993.0,48484.0,,70046.0,29250.0,60208.0,43576.0,92599.0,101355.0,56831.0,,86389.0,40495.0,93268.0,43692.0,21241,1972.0,7014,12886.0,37960.0,66494.0,105136.0,222715.0,382990.0,20386,431,2022,34,259,36091,3183,458,357,1204,3255,4707,1194,336,1985,1933,599,184,45,822,336,1474,2363,2150,18644,2301,10340,10094,2533,7823,2039,8883,5936,9076,5554,555,922,8526,987,2241,5315,221,24,964,3204,2369,141,497,3237,3474,60,1330,4593,9500,2713,15457,Middletown
4381,12,0,82,0,24,70,10,43.7,35.5,1281,0.4067,60125.0,35156.0,70409.0,40795.0,603,66,47,136,458,96111.0,94375.0,,,,,,69844.0,128011.0,122000.0,,,,,,,1948,1966.0,1003,24455.0,61525.0,96164.0,143083.0,261492.0,420903.0,2262,0,143,20,14,4033,49,0,26,153,355,497,221,11,76,355,203,24,41,160,11,93,134,60,2093,86,1103,960,259,742,118,1141,431,860,676,0,90,1110,55,53,160,0,0,30,116,46,16,9,149,682,0,89,342,748,408,1531,Middlefield
6168,128,29,24,29,113,367,201,39.6,36.5,1719,0.3998,57778.0,35846.0,62300.0,52633.0,883,54,41,116,706,85024.0,85000.0,,,,,,,106585.0,106555.0,,,,,,,2636,1979.0,1505,18330.0,58735.0,87813.0,134236.0,227334.0,345200.0,2736,66,127,24,0,5080,347,24,42,219,641,610,244,16,48,359,194,182,0,290,16,117,94,13,2455,233,725,1366,724,1253,205,1370,778,1337,634,79,50,1543,0,0,253,13,18,16,187,33,138,64,458,752,0,79,442,1036,584,2236,Beacon Falls
54763,13048,927,2513,21,4319,12696,5373,39.3,34.0,14498,0.4239,38739.0,23219.0,40596.0,26324.0,5947,1346,1036,3395,3468,62985.0,65590.0,55939.0,,101731.0,54693.0,62669.0,56884.0,76651.0,81465.0,68471.0,,128462.0,75042.0,,70248.0,22397,1957.0,7551,14541.0,38341.0,63134.0,95967.0,179986.0,277503.0,23205,1144,2034,69,495,37484,8486,259,346,1357,3901,5161,1677,330,2330,801,239,40,70,611,330,942,1802,1832,20328,3819,12289,10367,3525,10681,3953,14431,6545,7824,3476,675,1718,9357,873,1905,5674,232,5,895,3250,2096,255,522,5102,3827,11,1072,3779,10872,3222,17142,West Haven
5513,90,28,430,114,124,372,283,45.5,35.0,1258,0.4358,73125.0,33390.0,77083.0,41930.0,628,89,28,41,437,129133.0,129337.0,,,157917.0,,,190035.0,146532.0,146613.0,,,157917.0,,250001.0,191910.0,2075,1970.0,1347,38169.0,74423.0,131009.0,192620.0,396722.0,723203.0,2668,11,167,21,20,4444,149,258,3,265,270,892,221,0,23,498,476,287,32,547,0,52,115,53,2423,142,621,1523,588,1087,282,875,678,1381,849,23,66,1556,0,33,143,10,0,53,42,68,14,40,22,434,29,0,313,584,574,1851,Bethany
28742,1351,97,1163,25,2900,4964,1083,40.7,36.9,9226,0.4119,42420.0,29531.0,48585.0,37664.0,4250,593,278,1085,2311,67390.0,70355.0,45893.0,,150333.0,63263.0,36298.0,63593.0,84981.0,89489.0,62930.0,,140982.0,65957.0,36298.0,66020.0,12052,1967.0,5555,17151.0,43507.0,68745.0,104985.0,193665.0,279835.0,12597,427,982,69,218,21903,3292,0,216,1045,2160,2665,1068,177,698,727,195,30,36,344,177,387,1155,357,10924,1475,6767,4660,1954,5205,1687,8583,3543,4930,1824,257,721,5744,270,562,1652,301,83,225,1043,869,175,348,2974,3598,19,576,2265,5411,2374,9605,East Haven
22216,448,47,1167,0,165,1077,777,41.7,36.0,6145,0.4885,61176.0,42077.0,64806.0,48258.0,3191,202,114,394,2186,111870.0,112667.0,46250.0,,136250.0,,,78917.0,134910.0,137339.0,46708.0,,133500.0,,,100391.0,9249,1974.0,4562,28009.0,68101.0,114286.0,183475.0,436421.0,803858.0,9930,265,447,22,39,19488,479,157,45,834,1663,2864,835,59,320,1830,1390,1505,452,1713,59,302,437,135,9289,594,3711,4630,1989,4686,597,2657,2308,5627,5115,58,434,5659,51,125,630,226,37,214,290,245,111,35,352,1313,281,139,1182,3090,2214,7658,Guilford
18113,534,50,916,0,11,459,454,42.7,32.5,5182,0.4631,79816.0,35939.0,87027.0,37650.0,2689,151,43,219,1804,113798.0,114868.0,,,220478.0,,103315.0,,139214.0,142744.0,,,220478.0,,103315.0,,8204,1973.0,3963,27029.0,71458.0,114787.0,185928.0,396415.0,673901.0,7425,312,375,0,0,16241,242,189,46,803,1115,2493,699,125,244,1848,1158,1411,423,1519,125,224,482,207,6954,615,2666,3293,1985,4115,230,1660,1714,5124,3873,52,149,4863,63,104,431,203,67,17,278,292,25,45,65,645,299,102,890,2307,1969,6206,Madison
7739,111,17,411,0,137,346,273,42.0,35.6,1992,0.4164,61909.0,31948.0,64160.0,41042.0,1075,46,18,91,903,121122.0,118359.0,,,204423.0,108846.0,,121250.0,139545.0,137500.0,,,204423.0,108846.0,,122125.0,3046,1965.0,1613,28995.0,75955.0,122465.0,176509.0,336377.0,563406.0,3877,12,120,0,52,6550,175,0,16,237,478,999,378,32,65,741,357,357,50,462,32,101,280,20,3509,280,1690,1055,1164,1510,212,1151,845,2054,1401,25,59,1992,30,64,52,32,10,8,98,17,9,0,146,794,75,54,545,862,794,2368,Middlebury
16615,521,85,311,17,255,1093,303,42.3,35.4,4225,0.3673,51425.0,33958.0,57064.0,41339.0,2238,224,93,350,1546,95257.0,96113.0,,,,,60662.0,99524.0,109643.0,111210.0,,,,,,98631.0,6329,1968.0,3493,25101.0,59461.0,94415.0,134238.0,216927.0,301294.0,8354,32,673,0,80,14387,347,0,132,581,991,2333,607,175,138,965,361,122,39,448,175,498,546,25,7227,511,2903,3790,1718,3517,634,3875,2621,3176,1345,33,266,4081,85,117,444,95,0,75,302,226,76,73,1276,2166,58,198,1437,2491,1303,5008,Wolcott
44596,802,79,2310,118,610,3752,1241,41.2,36.4,13521,0.4003,53037.0,37186.0,57256.0,42545.0,6797,1053,823,1989,5115,80793.0,81254.0,55069.0,,103892.0,39250.0,52023.0,64457.0,103955.0,104591.0,96736.0,,104940.0,67396.0,,75143.0,19934,1967.0,8657,21843.0,52937.0,81289.0,119603.0,219396.0,342688.0,21728,136,1186,18,207,37081,2130,357,387,1904,3129,4936,1635,384,896,3000,1174,678,81,935,384,1124,2225,553,19172,2059,10074,9106,3237,7017,2368,11026,5509,10088,5254,172,601,10444,243,1644,2654,153,116,526,2316,982,193,292,2264,5757,31,526,5508,8431,2880,15315,Wallingford
8827,308,134,1467,0,22,505,643,42.2,36.9,2486,0.4043,86700.0,42045.0,81781.0,54491.0,1124,52,98,134,771,157610.0,158235.0,,,140536.0,,,124063.0,166546.0,170515.0,,,142321.0,,,124063.0,3107,1965.0,1727,37667.0,105390.0,158738.0,210714.0,422200.0,712570.0,3877,110,181,11,23,6229,250,568,33,245,537,1168,403,30,88,558,727,598,273,1007,30,73,102,73,3772,107,1208,2043,809,2041,283,762,675,1992,2759,0,68,2252,0,63,170,82,0,24,82,121,0,0,87,163,146,8,116,979,757,2722,Woodbridge
18802,3214,240,590,119,1347,4032,815,38.9,35.6,5321,0.4419,37259.0,26485.0,40423.0,31609.0,2567,263,364,1258,1290,54901.0,61875.0,26388.0,,45505.0,62693.0,145293.0,48333.0,75496.0,83500.0,38016.0,,88875.0,61304.0,145527.0,59583.0,8728,1954.0,2918,10262.0,31946.0,55503.0,89453.0,164011.0,241533.0,8220,261,812,72,166,15187,2060,33,329,727,1470,1762,632,86,756,440,139,39,0,230,86,959,1055,326,7193,802,3433,3578,1796,3677,1389,5019,2739,2867,1271,260,728,3274,383,701,1950,48,0,248,983,910,160,142,1707,2003,8,537,2026,3689,1238,5792,Ansonia
13934,347,138,1255,0,44,223,624,44.1,35.6,3854,0.4198,72803.0,41638.0,75481.0,49828.0,1886,118,39,127,1237,121308.0,121842.0,,,118750.0,,,,140464.0,139898.0,166029.0,,126667.0,,,183162.0,5194,1963.0,2832,29565.0,76012.0,122436.0,175042.0,340556.0,596390.0,6318,200,394,0,12,10975,174,426,82,523,955,1717,654,24,237,1886,1127,581,247,1047,24,93,310,95,5839,380,2725,2547,1341,3157,249,1958,1171,3556,2992,12,175,3580,34,41,304,189,10,82,162,86,16,6,25,444,40,56,502,1680,1665,4571,Orange
13086,481,10,140,0,347,848,363,39.7,34.8,3357,0.3704,62737.0,40058.0,63912.0,42451.0,1735,104,50,184,1285,110111.0,110139.0,,,,,,151524.0,124355.0,124435.0,,,,,,151524.0,4902,1981.0,3046,30292.0,76707.0,112355.0,157732.0,270992.0,395751.0,6368,77,149,17,15,11239,400,0,32,519,693,1934,542,30,24,1503,903,537,59,828,30,261,240,15,5864,447,1991,2680,1789,2773,394,2608,1891,2848,1778,29,247,3380,16,121,86,26,0,90,38,97,15,0,366,1014,18,81,1041,1439,1275,4193,Oxford
28020,567,47,1491,0,902,1728,981,43.9,37.3,8396,0.4605,55566.0,37708.0,61543.0,43567.0,4539,612,144,746,2789,77640.0,78872.0,62941.0,,71477.0,37459.0,85202.0,38640.0,100357.0,101576.0,64706.0,,100924.0,,66875.0,,13632,1971.0,5153,19750.0,48822.0,78123.0,120308.0,268662.0,482979.0,13578,156,758,9,136,23512,1227,185,83,1136,2473,3032,719,216,803,1820,634,811,330,1119,216,499,1102,379,12221,1134,6032,5961,2120,4610,944,5986,3718,6313,4434,232,639,6406,109,459,2836,293,23,508,1124,1240,276,242,1462,2418,440,334,2152,6337,2211,10768,Branford
12485,1373,104,569,0,783,2747,701,39.4,36.8,3347,0.4374,40041.0,30399.0,43799.0,40598.0,1447,261,293,888,697,56357.0,60685.0,51860.0,,68211.0,20979.0,,39443.0,68775.0,82697.0,100372.0,,,20858.0,,39049.0,5837,1958.0,1893,13275.0,34735.0,55484.0,86759.0,173636.0,270541.0,5460,24,367,33,188,8784,1436,12,101,544,757,1321,300,160,593,327,182,17,0,279,160,375,951,329,5204,242,2304,2265,1244,2407,1085,3157,1766,2515,528,174,458,2189,113,734,1156,0,34,188,621,601,0,103,1283,1023,14,170,1568,2360,609,3820,Derby
130331,45914,1862,7712,216,18884,40683,16289,38.4,34.2,37564,0.52,27004.0,21974.0,30937.0,25931.0,11731,3879,2955,13536,4742,42222.0,53504.0,31939.0,48750.0,59038.0,36178.0,31006.0,38860.0,49929.0,70315.0,37612.0,,83750.0,37000.0,43194.0,40607.0,55682,1943.0,9839,7889.0,23285.0,42933.0,73849.0,178854.0,318312.0,40387,7074,5030,467,957,78224,32594,2134,2294,3841,9991,9139,2324,499,10936,1218,830,413,408,2004,499,3176,6169,9256,45389,6298,30624,17467,8626,28849,10665,25942,11298,16289,15456,3087,5581,14333,4635,6525,21173,2318,270,3131,11249,8618,370,1083,5494,3848,93,4905,8968,27512,5289,39832,New Haven
17619,570,193,677,0,991,1990,724,39.9,35.8,4422,0.4051,48292.0,33601.0,51917.0,37365.0,2535,272,176,678,1693,72175.0,73283.0,55714.0,,,87778.0,,63472.0,98062.0,99612.0,96250.0,,100566.0,88778.0,,88306.0,8261,1963.0,3779,18644.0,46483.0,74194.0,109880.0,197530.0,314773.0,9010,67,882,10,153,13529,1085,216,103,415,1461,1923,639,114,395,773,95,24,21,207,114,660,724,276,7329,1142,4827,3300,1226,3170,1296,4265,2427,3663,1382,115,407,3813,127,872,1094,9,0,287,926,494,145,131,1991,2205,36,303,2240,3634,1139,6253,Plainville
24799,683,297,1121,20,312,1164,970,43.2,34.8,6588,0.4618,78660.0,38506.0,91719.0,44672.0,2834,229,145,307,2089,123905.0,126217.0,76176.0,,100795.0,117917.0,162917.0,118519.0,151424.0,152922.0,95673.0,,,128750.0,163125.0,132708.0,9971,1971.0,5401,28110.0,76118.0,123954.0,183872.0,415813.0,732633.0,10949,176,469,45,33,21384,553,254,39,627,1775,3602,803,97,290,2559,827,935,215,1750,97,201,464,289,10359,586,3847,5064,2503,5793,369,2140,2313,7262,5444,64,262,6442,91,371,950,346,141,277,850,435,80,93,795,1987,96,119,1267,3661,2689,8918,Simsbury
63063,4580,518,5789,42,1839,7057,3788,42.1,36.8,16214,0.4634,62967.0,41949.0,65291.0,50214.0,7106,596,527,1825,5116,104281.0,109678.0,47321.0,,86500.0,64196.0,79524.0,74432.0,138365.0,153898.0,81563.0,,86375.0,98409.0,92069.0,91038.0,26437,1953.0,11648,22330.0,62567.0,105085.0,168753.0,352251.0,587552.0,29237,845,1452,46,656,46300,4932,943,244,1683,4184,7468,2209,312,1297,4676,2857,2230,448,3570,312,1016,1908,773,27400,2003,15023,12340,3492,13816,1793,5807,4886,15586,15204,337,947,14016,401,1004,4407,878,161,1212,2682,1619,143,115,1692,5226,176,530,3416,10919,5979,21802,West Hartford
28859,11574,315,1361,65,1040,2590,1425,39.8,35.9,7323,0.3892,47045.0,34599.0,51087.0,40744.0,3460,536,270,980,2563,92199.0,92766.0,95513.0,,90650.0,,106576.0,74505.0,105415.0,105221.0,105806.0,,92450.0,,161053.0,95357.0,11371,1965.0,6606,23731.0,59487.0,92687.0,127695.0,233165.0,364542.0,14395,415,1161,128,277,23978,1575,153,15,758,1753,3157,1567,133,273,1168,312,61,0,457,133,565,736,425,12593,1481,7632,5785,1818,5321,1282,4732,4258,6302,3711,136,484,6600,195,279,1155,100,0,406,567,483,244,371,2732,3978,42,429,2208,4887,2656,9469,Windsor
11445,896,26,1037,28,371,678,925,40.4,35.2,2914,0.3781,48362.0,31811.0,52700.0,39338.0,1495,213,135,446,1104,76824.0,77076.0,92688.0,,70625.0,,89407.0,130021.0,96000.0,107600.0,,,72031.0,,89131.0,130763.0,5277,1975.0,2096,19645.0,46219.0,76303.0,113790.0,180775.0,252503.0,6073,0,441,0,11,9176,231,0,68,341,897,1295,483,31,295,586,57,91,0,311,31,244,356,84,5344,372,2335,3122,700,1927,420,2544,1491,2816,1482,63,224,2661,30,297,1158,27,0,112,832,273,136,148,1141,1097,56,172,1229,2294,818,4255,East Windsor
72767,11621,676,2555,54,8128,31500,6919,39.1,36.3,21572,0.4546,32249.0,24791.0,37238.0,30782.0,7590,2688,1967,8968,4251,46499.0,47654.0,45114.0,,71979.0,33828.0,40260.0,37275.0,53648.0,53179.0,70707.0,,72984.0,41616.0,37083.0,38070.0,31800,1952.0,7211,9437.0,27539.0,46069.0,73920.0,147683.0,236603.0,29116,1071,2530,321,671,34095,21933,178,1353,2823,6931,5347,1728,622,4018,380,62,47,67,254,622,3393,4760,1299,25625,3331,16775,11550,3161,16638,8443,17086,7922,9650,3229,1586,3546,10344,1876,5753,8591,69,13,1917,5941,3793,274,813,7825,1804,36,2192,9313,14090,1761,20079,New Britain
60218,4543,551,1634,69,3493,10400,1423,39.8,36.3,16010,0.4347,44219.0,31015.0,47520.0,38788.0,8354,1272,1088,4075,5228,67507.0,70925.0,50203.0,24924.0,66250.0,53750.0,62344.0,52583.0,85397.0,91366.0,45855.0,,65750.0,36596.0,73090.0,55261.0,26546,1964.0,10785,16338.0,42248.0,67789.0,101981.0,203268.0,350556.0,28399,519,2412,160,468,46833,6383,75,294,1974,4272,6661,2086,227,2129,1540,332,294,43,541,227,1649,2733,930,24581,2855,13073,11581,5194,12043,3981,14249,8504,11795,3944,789,1814,12096,1042,3102,4430,126,32,1043,3250,2234,349,792,6854,5440,35,1486,7246,11647,3491,20256,Bristol
43781,1023,137,1311,13,621,2056,954,42.4,36.0,12280,0.4113,56034.0,36618.0,59659.0,48234.0,6570,618,205,1114,4773,94463.0,95608.0,70581.0,,100032.0,44792.0,115673.0,63214.0,113553.0,114951.0,56744.0,,110750.0,43854.0,115481.0,75769.0,18318,1973.0,9573,23245.0,56075.0,94772.0,137453.0,253498.0,405624.0,21011,118,916,75,183,36512,987,365,141,1720,2945,5784,1591,150,519,3359,1506,882,98,1705,150,658,1445,397,19011,1599,9617,8606,3303,8930,1876,8939,5190,10573,4880,157,770,10972,266,775,1634,28,15,493,1008,698,239,421,2732,4911,146,554,4469,6579,3705,15059,Southington
5304,135,235,120,0,123,432,104,41.7,36.3,1189,0.3505,58585.0,38767.0,59975.0,39162.0,756,21,104,162,452,104336.0,104505.0,,,,,,,107850.0,109071.0,,,,,,88375.0,2156,1973.0,1106,24909.0,60400.0,103086.0,132909.0,209923.0,269362.0,2664,15,241,106,0,4539,277,76,0,159,373,640,116,0,88,503,120,0,0,76,0,64,131,42,2310,170,1116,996,609,1121,255,639,733,1484,667,22,32,1234,34,248,108,0,0,49,142,111,0,18,176,786,34,49,745,602,555,1832,East Granby
18312,177,57,2576,0,489,900,1343,43.8,35.1,5243,0.4862,96461.0,37241.0,105843.0,47327.0,2118,172,142,217,1721,131130.0,132839.0,,,109375.0,,,211014.0,168221.0,173594.0,,,109875.0,,,211689.0,7384,1978.0,3826,28099.0,75779.0,133135.0,209767.0,484147.0,864220.0,7762,98,408,57,106,13655,475,437,34,600,1695,2294,530,68,351,1401,1045,989,356,1444,68,203,309,322,7378,396,2333,4156,1693,4526,272,1256,1654,5574,3981,126,242,4717,48,38,818,164,31,77,407,264,39,83,419,1199,279,78,709,2877,1801,6465,Avon
20484,317,53,847,0,324,1129,429,40.8,37.0,6020,0.4134,60631.0,42065.0,64734.0,49135.0,2857,236,127,433,2172,101127.0,99740.0,,,111133.0,,,140640.0,119071.0,119814.0,,,111465.0,,,141372.0,8584,1972.0,4657,26238.0,61392.0,100165.0,146108.0,278753.0,444836.0,9828,107,355,49,202,17122,349,108,51,779,1600,2782,776,38,343,1662,675,399,43,749,38,300,724,237,9259,558,4376,4557,1239,4037,849,4272,2363,4795,2585,91,302,5493,72,109,1011,28,17,89,543,262,97,31,769,3213,17,203,1668,3728,1795,7157,Berlin
9659,160,0,398,0,0,213,176,42.1,35.7,2519,0.4001,71159.0,39831.0,72260.0,44821.0,1044,75,15,87,827,127353.0,128681.0,,,112206.0,,103393.0,109519.0,139120.0,140298.0,,,111397.0,,103393.0,155385.0,3688,1981.0,2311,31955.0,80805.0,127503.0,178947.0,337838.0,499004.0,4451,13,260,38,11,8352,202,63,26,252,803,1288,376,4,61,730,615,453,52,589,4,78,179,6,4006,204,1194,2065,1211,2215,188,1410,1055,2597,1523,13,188,2492,17,81,89,20,20,44,103,19,8,60,230,1058,25,40,712,1157,960,3205,Burlington
1982,5,165,10,0,15,2,15,42.7,34.8,451,0.4077,50184.0,38583.0,51914.0,39968.0,248,20,10,37,195,99722.0,99306.0,,,,,,,109861.0,109028.0,,,,,,,855,1969.0,460,31026.0,66277.0,99140.0,128293.0,286475.0,505036.0,962,16,61,33,11,1860,0,0,4,66,94,279,76,0,5,166,39,32,3,38,0,22,39,4,853,68,165,471,346,382,72,482,240,493,127,3,32,476,4,17,32,0,0,10,26,12,10,4,130,313,6,35,226,299,158,695,Hartland
50272,14635,791,2038,77,5844,18158,5084,38.9,35.5,12716,0.4386,35751.0,25978.0,40290.0,30575.0,5661,1262,1364,4390,2983,55967.0,56904.0,58800.0,,80586.0,41175.0,49982.0,43454.0,70319.0,75722.0,69453.0,86174.0,80469.0,43125.0,,53719.0,20976,1960.0,7437,12199.0,34523.0,57636.0,92007.0,172776.0,265926.0,23030,1200,1515,459,781,28743,12745,80,449,1460,3842,5048,1865,161,2349,237,44,44,13,178,161,1588,2162,867,20334,3248,11816,10141,3140,10620,4850,12017,6504,7612,2090,798,2263,8705,927,2627,4146,41,0,935,2404,1851,467,691,7183,2416,49,1252,5674,10101,1680,15296,East Hartford
123088,52517,1447,4183,323,29165,54515,15093,38.1,34.3,38360,0.5049,25653.0,20772.0,30838.0,24200.0,11698,5769,6882,18762,5034,36278.0,39491.0,38109.0,21591.0,75833.0,27220.0,34570.0,28254.0,42536.0,45942.0,47308.0,35357.0,84435.0,31102.0,40670.0,31928.0,54753,1951.0,8047,6809.0,19423.0,36463.0,61173.0,139576.0,246869.0,38325,7005,5039,296,2470,65708,40620,528,2845,4190,11146,7901,2850,634,10882,524,294,367,63,525,634,6400,7590,3651,37690,6252,23024,19912,6045,28492,17001,25329,13769,12431,5234,3321,6793,13128,5045,12990,16220,583,22,3776,11128,7954,296,1086,6518,1928,120,5521,15613,22291,2106,32700,Hartford
