total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town,demand_estimate,ratio_poverty,demand_estimate_2,%housing_lowerHalf_income,demand_estimate_3,children_below_200%_poverty,%all_parents_working,demand_estimate_4
62587,24560,1725,1766,204729.0,294,114,4217,2045,94,234,451,945,14523,50,406,3719,Greenwich,1746.0,0.02700241264160289,95.0,0.19620688002300798,685.0,570,0.5627223144415461,321.0
9176,3959,267,264,158958.0,29,0,566,301,0,21,32,168,2412,0,0,566,Redding,266.0,0.02495640802092415,14.0,0.2157258064516129,115.0,0,0.568904593639576,0.0
20276,7655,619,584,248162.0,37,0,1545,635,81,64,77,231,5092,0,71,1474,New Canaan,602.0,0.017015190372854608,21.0,0.18876997435391596,228.0,71,0.5048543689320388,36.0
13955,5889,470,282,134960.0,35,0,795,455,10,19,69,194,3585,36,5,754,New Fairfield,376.0,0.02135435327839484,17.0,0.2109996417054819,159.0,41,0.6088050314465409,25.0
27822,10506,680,452,151643.0,46,0,1411,871,43,99,53,240,7371,11,45,1377,Newtown,566.0,0.012184602113435411,14.0,0.18880741858960534,214.0,56,0.7179305457122608,41.0
10287,3882,237,217,242083.0,22,0,661,427,0,11,22,134,2748,0,12,649,Weston,227.0,0.017303392631476622,8.0,0.18868474773986585,86.0,12,0.6626323751891074,8.0
7543,2870,92,159,172786.0,31,0,272,176,0,15,8,67,2110,0,0,272,Easton,126.0,0.014052764152194088,4.0,0.19024260904149543,48.0,0,0.7022058823529411,0.0
145639,58552,4816,4439,53271.0,2549,1989,10408,2557,1033,4137,3555,7224,18738,1806,3509,3481,Bridgeport,4628.0,0.09151394887358469,847.0,0.20101758457556013,1861.0,7304,0.7424096848578017,5423.0
21742,7278,773,656,250001.0,114,0,1779,836,11,53,28,133,5437,9,12,1758,Darien,715.0,0.01264833042038451,19.0,0.1673719069082881,240.0,21,0.5059021922428331,11.0
25042,9726,612,663,200854.0,40,0,1572,761,17,81,27,329,6610,17,53,1502,Ridgefield,638.0,0.015813433431834518,21.0,0.19419375449245269,248.0,70,0.5464376590330788,39.0
41141,17208,781,957,117256.0,164,32,1841,1186,34,179,192,730,10114,53,192,1645,Shelton,869.0,0.026397024865705745,46.0,0.20913444009625434,364.0,277,0.7599130907115698,211.0
28016,10931,710,587,250001.0,125,10,1629,778,10,80,125,166,7153,50,39,1530,Westport,649.0,0.014848657909765849,20.0,0.1950849514563107,254.0,99,0.532842234499693,53.0
84619,32990,2746,2561,85157.0,620,401,6004,2274,851,1570,1201,2391,15344,571,1399,3752,Danbury,2654.0,0.04977605502310356,265.0,0.19493258015339346,1035.0,2371,0.7819786808794137,1855.0
3649,1799,42,54,117594.0,10,0,103,64,0,17,0,73,970,0,7,96,Sherman,48.0,0.02274595779665662,3.0,0.2465058920252124,24.0,7,0.7864077669902912,6.0
17016,6721,415,369,127287.0,54,0,955,660,0,17,114,237,4291,0,52,903,Brookfield,392.0,0.023801128349788436,19.0,0.1974905970850964,155.0,52,0.7089005235602094,37.0
35976,12631,860,989,138681.0,61,5,2210,1543,130,79,94,423,9148,31,124,2050,Trumbull,925.0,0.016066266399822105,30.0,0.17554758728040917,325.0,160,0.7927601809954751,127.0
19681,8779,470,305,128856.0,62,0,951,625,80,127,56,217,4845,0,26,932,Southbury,388.0,0.017021492810324678,14.0,0.22303236624155276,173.0,26,0.8748685594111462,23.0
29147,10958,781,397,139306.0,9,0,1447,762,52,153,29,232,7292,27,103,1317,Cheshire,589.0,0.009263389028030328,11.0,0.18797817957251176,222.0,130,0.668279198341396,87.0
60982,25084,1343,1216,102709.0,206,0,2950,1541,84,753,454,1193,11829,234,379,2499,Hamden,1280.0,0.030386015545570823,78.0,0.20566724607261158,527.0,613,0.8061016949152542,495.0
14191,5855,300,322,113092.0,13,0,679,534,0,53,55,169,3585,0,113,566,North Branford,311.0,0.016700725812134453,11.0,0.20629272073849622,129.0,113,0.8645066273932254,98.0
16508,6573,273,325,97375.0,34,28,635,373,98,65,64,540,3431,0,54,579,Seymour,299.0,0.038647928277198935,24.0,0.19908529197964622,120.0,82,0.8440944881889764,70.0
108276,47830,4206,3274,52884.0,2271,2100,8434,2185,1068,2575,2553,5152,14807,1265,2117,3277,Waterbury,3740.0,0.09213491447781595,690.0,0.22087073774428312,1653.0,5482,0.6910125681764288,3789.0
23722,9583,403,596,119371.0,104,52,1088,727,26,178,123,421,5834,59,84,893,North Haven,500.0,0.02731641514206222,28.0,0.20198549869319618,202.0,195,0.8556985294117647,167.0
54328,24417,1384,1210,115557.0,185,44,2790,1771,65,313,233,1040,12756,73,292,2409,Milford,1297.0,0.026836990134000885,70.0,0.2247183772640259,583.0,409,0.7702508960573476,316.0
5456,2223,83,105,116458.0,12,0,227,104,24,7,16,51,1541,0,0,227,Harwinton,94.0,0.014479472140762463,3.0,0.20372067448680353,39.0,0,0.5947136563876652,0.0
2205,1324,70,81,107955.0,5,0,147,66,12,6,14,78,507,6,47,101,Morris,76.0,0.04399092970521542,7.0,0.3002267573696145,46.0,53,0.5714285714285714,31.0
11711,5382,215,298,103212.0,20,22,597,288,65,102,49,153,2873,24,73,478,Plymouth,257.0,0.01895653658953121,10.0,0.2297839637947229,118.0,119,0.7621440536013401,91.0
2700,1925,45,36,111453.0,12,0,84,48,30,0,35,49,728,40,0,44,Sharon,41.0,0.035555555555555556,3.0,0.35648148148148145,29.0,40,0.9285714285714286,38.0
7599,3353,141,113,92480.0,55,5,283,107,0,47,40,95,1849,34,10,234,Thomaston,127.0,0.025003289906566653,7.0,0.22062113435978417,57.0,49,0.5441696113074205,27.0
3625,2902,77,14,98917.0,0,0,124,22,14,77,46,62,821,0,0,124,Salisbury,46.0,0.029793103448275862,3.0,0.40027586206896554,37.0,0,0.9112903225806451,0.0
34489,16773,992,674,81274.0,240,132,2047,912,224,468,346,1129,6948,179,421,1330,Torrington,833.0,0.04972599959407347,83.0,0.24316448722781175,406.0,732,0.7835857352222765,574.0
1291,1029,12,13,100556.0,9,0,31,16,15,0,11,35,339,3,0,28,Cornwall,13.0,0.042602633617350893,2.0,0.39852827265685514,10.0,3,1.0,3.0
27014,11896,542,648,111000.0,65,0,1522,851,5,193,131,575,6475,143,135,1266,New Milford,595.0,0.028540756644702747,34.0,0.22018212778559265,263.0,278,0.6892247043363995,192.0
21751,9013,546,407,99864.0,66,139,1158,768,0,95,83,481,5257,39,35,945,Watertown,477.0,0.02896418555468714,28.0,0.20718587651142475,198.0,213,0.7452504317789291,159.0
1484,783,32,15,112917.0,0,0,59,51,8,0,5,4,382,0,6,53,Colebrook,24.0,0.006064690026954178,1.0,0.2638140161725067,13.0,6,1.0,6.0
2883,1507,62,80,137153.0,26,20,173,86,0,20,0,39,734,0,0,153,Goshen,71.0,0.022545959070412763,4.0,0.2613596947624003,38.0,20,0.6127167630057804,13.0
9562,4652,177,136,100634.0,18,0,349,257,13,42,21,182,2551,0,12,359,Woodbury,157.0,0.023112319598410376,8.0,0.24325454925747753,77.0,12,0.8939828080229226,11.0
1707,843,15,26,117500.0,4,0,44,35,3,2,3,12,471,0,0,44,Bridgewater,21.0,0.011130638547158758,1.0,0.2469244288224956,11.0,0,0.9090909090909091,0.0
1143,717,36,15,94625.0,0,0,54,24,16,4,9,18,308,0,6,48,Canaan,26.0,0.023622047244094488,2.0,0.3136482939632546,16.0,6,0.8148148148148148,5.0
8147,4136,151,152,112669.0,34,31,384,276,5,21,20,142,2023,15,22,317,Litchfield,152.0,0.024057935436356943,8.0,0.2538357677672763,77.0,68,0.7864583333333334,54.0
1457,845,19,19,117708.0,0,0,46,32,5,3,5,24,416,0,5,41,Warren,19.0,0.01990391214824983,1.0,0.2899794097460535,12.0,5,0.8695652173913043,5.0
1628,935,30,48,101625.0,0,0,97,54,5,26,20,24,402,5,16,76,Norfolk,39.0,0.02702702702702703,3.0,0.28716216216216217,23.0,21,0.8762886597938144,19.0
3281,1656,45,127,92868.0,0,0,165,47,73,21,38,65,596,0,35,130,North Canaan,86.0,0.031392868028040234,6.0,0.25236208473026517,44.0,35,0.8545454545454545,30.0
2105,1169,35,32,143462.0,0,0,84,56,0,0,10,10,570,13,0,71,Roxbury,34.0,0.009501187648456057,1.0,0.27767220902612827,19.0,13,0.6666666666666666,9.0
6703,2911,128,147,141538.0,0,0,305,184,0,40,0,74,1710,0,0,305,New Hartford,138.0,0.011039832910637029,4.0,0.21714157839773235,60.0,0,0.7344262295081967,0.0
3450,2115,116,80,138958.0,11,0,205,144,12,22,10,73,755,0,0,205,Washington,98.0,0.027246376811594204,6.0,0.3065217391304348,61.0,0,0.8682926829268293,0.0
10288,4282,190,287,94930.0,0,0,584,469,0,20,36,197,2618,0,0,584,Canton,239.0,0.022647744945567653,11.0,0.20810653188180403,100.0,0,0.8373287671232876,0.0
44143,17639,1044,1188,95587.0,330,138,2557,1308,210,459,230,994,9157,125,425,1877,Enfield,1116.0,0.03520376956708878,79.0,0.19979385179983236,446.0,688,0.7731716855690262,532.0
30234,12810,723,551,97427.0,188,124,1471,913,28,152,146,628,6778,16,205,1126,Newington,637.0,0.031818482503142155,41.0,0.21184758880730303,270.0,345,0.743031951053705,257.0
1653,850,57,15,106094.0,9,0,73,39,0,4,9,19,474,12,16,56,Eastford,36.0,0.02238354506957048,2.0,0.2571082879612825,19.0,28,0.589041095890411,17.0
1830,835,41,38,98636.0,1,2,89,58,0,18,10,40,483,0,0,87,Hampton,40.0,0.027868852459016394,3.0,0.22814207650273224,19.0,2,0.8539325842696629,2.0
15860,6454,326,500,120188.0,19,9,1101,685,150,133,200,227,3813,105,81,906,Colchester,413.0,0.028121059268600253,24.0,0.20346784363177806,169.0,195,0.8792007266121707,172.0
26966,12208,569,695,51329.0,272,140,1453,377,229,527,972,1152,3419,390,261,685,New London,632.0,0.08885262923681674,113.0,0.22635911889045465,287.0,791,0.7797660013764625,617.0
2589,1055,77,69,94500.0,0,0,143,61,17,8,0,66,690,0,61,82,Bozrah,73.0,0.02549246813441483,4.0,0.2037466203167246,30.0,61,0.6013986013986014,37.0
1778,768,35,42,117273.0,0,0,78,57,0,0,3,40,475,0,12,78,Franklin,39.0,0.024184476940382452,2.0,0.21597300337457817,17.0,12,0.7307692307692307,9.0
7215,3203,141,90,100543.0,26,0,251,131,21,0,85,165,1714,0,0,266,Lebanon,116.0,0.038253638253638256,9.0,0.22196812196812196,52.0,0,0.6055776892430279,0.0
18935,8426,350,598,109787.0,12,24,1079,649,53,105,100,379,4589,21,143,897,Waterford,474.0,0.02593081594930024,25.0,0.22249801954053341,211.0,188,0.7479147358665431,141.0
5223,2326,94,134,100114.0,31,0,327,124,17,0,36,194,1130,3,170,154,North Stonington,114.0,0.049971280873061456,12.0,0.22266896419682175,51.0,173,0.43119266055045874,75.0
18445,9512,268,455,104799.0,242,69,830,322,91,165,57,304,4604,11,151,599,Stonington,362.0,0.032691786391976146,24.0,0.2578476551911087,187.0,231,0.6963855421686747,161.0
39260,19224,1250,1002,66985.0,337,243,2609,880,249,1066,534,1885,6916,338,700,1427,Norwich,1126.0,0.07019867549668875,159.0,0.24482934284258787,552.0,1281,0.8413185128401687,1078.0
