child_id,deduplicated_id,is_duplicate
B470AE11-5F8D-EB11-AAE9-0A7560B274D4,7979,True
B570AE11-5F8D-EB11-AAE9-0A7560B274D4,7980,True
B670AE11-5F8D-EB11-AAE9-0A7560B274D4,7981,True
B770AE11-5F8D-EB11-AAE9-0A7560B274D4,7982,True
B870AE11-5F8D-EB11-AAE9-0A7560B274D4,7983,True
B970AE11-5F8D-EB11-AAE9-0A7560B274D4,7984,True
BA70AE11-5F8D-EB11-AAE9-0A7560B274D4,7985,True
BB70AE11-5F8D-EB11-AAE9-0A7560B274D4,7986,True
BC70AE11-5F8D-EB11-AAE9-0A7560B274D4,7987,True
BD70AE11-5F8D-EB11-AAE9-0A7560B274D4,7988,True
BE70AE11-5F8D-EB11-AAE9-0A7560B274D4,7989,True
BF70AE11-5F8D-EB11-AAE9-0A7560B274D4,7990,True
C070AE11-5F8D-EB11-AAE9-0A7560B274D4,7991,True
C170AE11-5F8D-EB11-AAE9-0A7560B274D4,7992,True
C270AE11-5F8D-EB11-AAE9-0A7560B274D4,7993,True
C370AE11-5F8D-EB11-AAE9-0A7560B274D4,7994,True
C470AE11-5F8D-EB11-AAE9-0A7560B274D4,7995,True
C570AE11-5F8D-EB11-AAE9-0A7560B274D4,7996,True
C670AE11-5F8D-EB11-AAE9-0A7560B274D4,7997,True
C870AE11-5F8D-EB11-AAE9-0A7560B274D4,122,False
C970AE11-5F8D-EB11-AAE9-0A7560B274D4,123,False
CD70AE11-5F8D-EB11-AAE9-0A7560B274D4,124,False
CE70AE11-5F8D-EB11-AAE9-0A7560B274D4,8002,True
CF70AE11-5F8D-EB11-AAE9-0A7560B274D4,8003,True
D070AE11-5F8D-EB11-AAE9-0A7560B274D4,8004,True
D170AE11-5F8D-EB11-AAE9-0A7560B274D4,8005,True
D270AE11-5F8D-EB11-AAE9-0A7560B274D4,8006,True
D370AE11-5F8D-EB11-AAE9-0A7560B274D4,8007,True
D470AE11-5F8D-EB11-AAE9-0A7560B274D4,8008,True
D570AE11-5F8D-EB11-AAE9-0A7560B274D4,8009,True
D670AE11-5F8D-EB11-AAE9-0A7560B274D4,8010,True
D770AE11-5F8D-EB11-AAE9-0A7560B274D4,8011,True
D870AE11-5F8D-EB11-AAE9-0A7560B274D4,8012,True
